Team	R	HR	RBI	SB	OBP	SLG	K	QS	SV	ERA	WHIP	K/9
Laid Back Brycestyle	84	29	95	17	0.3641	0.4991	142	14	6	4.047	1.214	7.87
lightsaber metrics	87	16	74	10	0.3158	0.3667	124	10	5	3.312	1.168	8.93
Better Safe Than Soria	86	21	78	7	0.3423	0.4744	92	10	1	2.328	1.069	7.14
CJ is my logo	50	10	57	5	0.3202	0.3799	118	13	8	2.751	1.013	8.54
All Gold  $hit	56	20	71	9	0.2713	0.3619	117	6	7	6.287	1.632	7.74
Sam Cassel  Big Balls Dance	63	16	60	5	0.3126	0.3935	124	9	9	4.061	1.22	9.33
Sterling Farte	67	17	70	17	0.2947	0.4092	153	14	8	3.657	1.159	8.23
Unbreakable Shelby Miller	59	20	69	7	0.298	0.3796	131	10	5	4.357	1.2	8.04
Oak Park Balk of Shame	71	19	59	10	0.3065	0.4095	84	11	6	3.018	1.235	6.67
Chill Outs	77	12	72	17	0.3476	0.4327	133	9	10	4.195	1.356	10.14